days,fips,tot_cases,tot_death,new_death,actual cases,predicted cases,%error,%accuracy,predicted rounded,rounded %error,rounded %accuracy
190,12,220476,3953,112,9882,8641.945,12.54862376,87.45137624,8642,12.54806719,87.45193281
236,13,262099,5132,40,1812,2499.433,37.93780353,62.06219647,2499,37.91390728,62.08609272
95,51,2407,52,6,395,335.933,14.95367089,85.04632911,336,14.93670886,85.06329114
96,1,1841,31,5,208,209.604,0.771153846,99.22884615,210,0.961538462,99.03846154
194,21,19389,625,3,268,384.596,43.50597015,56.49402985,385,43.65671642,56.34328358
95,1,1633,26,5,98,236.604,141.4326531,-41.43265306,237,141.8367347,-41.83673469
293,51,167754,3485,28,926,940.477,1.563390929,98.43660907,940,1.51187905,98.48812095
205,37,107432,1726,28,1945,2054.132,5.610899743,94.38910026,2054,5.604113111,94.39588689
85,21,198,5,1,35,48.761,39.31714286,60.68285714,49,40,60
265,1,145780,2439,2,818,916.861,12.08569682,87.91430318,917,12.10268949,87.89731051
263,45,137240,3188,11,922,675.437,26.74219089,73.25780911,675,26.78958785,73.21041215
171,1,29017,823,13,803,654.061,18.54782067,81.45217933,654,18.55541719,81.44458281
98,21,1149,65,6,141,122.567,13.07304965,86.92695035,123,12.76595745,87.23404255
218,47,114098,1144,27,1657,1739.724,4.992395896,95.0076041,1740,5.009052505,94.9909475
240,12,605342,10868,135,3229,3303.025,2.29250542,97.70749458,3303,2.291731186,97.70826881
179,12,130092,3390,24,9518,7411.955,22.12696995,77.87303005,7412,22.12649716,77.87350284
274,21,68840,1174,4,984,568.1,42.26626016,57.73373984,568,42.27642276,57.72357724
314,37,294860,4615,8,1521,2354.005,54.76692965,45.23307035,2354,54.76660092,45.23339908
198,12,311640,4677,156,13764,9630.651,30.03014385,69.96985615,9631,30.02760825,69.97239175
311,47,273144,3541,32,1373,2885.881,110.1879825,-10.18798252,2886,110.1966497,-10.19664967
298,37,258292,4144,30,2584,2430.383,5.944930341,94.05506966,2430,5.959752322,94.04024768
255,1,136703,2333,32,1138,956.577,15.94226714,84.05773286,957,15.90509666,84.09490334
220,21,33796,764,4,542,566.835,4.582103321,95.41789668,567,4.612546125,95.38745387
127,13,28998,1327,69,802,655.734,18.23765586,81.76234414,656,18.20448878,81.79551122
121,13,25241,1111,57,537,805.7,50.03724395,49.96275605,806,50.09310987,49.90689013
276,47,198403,2515,14,971,1321.779,36.12554068,63.87445932,1322,36.14830072,63.85169928
99,13,10080,371,20,1130,819.335,27.49247788,72.50752212,819,27.52212389,72.47787611
318,1,213617,3231,18,2980,2162.038,27.44838926,72.55161074,2162,27.44966443,72.55033557
328,47,344550,4301,35,4074,4592.707,12.73213058,87.26786942,4593,12.73932253,87.26067747
239,47,147353,1648,20,1936,1044.907,46.02753099,53.97246901,1045,46.02272727,53.97727273
82,37,255,0,0,71,86.564,21.92112676,78.07887324,87,22.53521127,77.46478873
240,28,81294,2413,14,599,734.463,22.6148581,77.3851419,734,22.5375626,77.4624374
248,21,51677,987,11,792,817.414,3.208838384,96.79116162,817,3.156565657,96.84343434
163,51,53211,1534,14,564,566.834,0.50248227,99.49751773,567,0.531914894,99.46808511
243,12,614753,11119,14,2547,2096.966,17.66917943,82.33082057,2097,17.66784452,82.33215548
197,1,59113,1211,45,1805,1760.007,2.492686981,97.50731302,1760,2.493074792,97.50692521
151,47,22720,366,5,484,516.388,6.691735537,93.30826446,516,6.611570248,93.38842975
289,45,161106,3607,14,1297,920.306,29.04348497,70.95651503,920,29.06707787,70.93292213
304,28,120160,3334,6,824,562.169,31.7756068,68.2243932,562,31.7961165,68.2038835
83,1,196,0,0,39,59.47,52.48717949,47.51282051,59,51.28205128,48.71794872
100,1,2838,48,0,339,131.441,61.22684366,38.77315634,131,61.35693215,38.64306785
129,28,9378,422,13,288,290.094,0.727083333,99.27291667,290,0.694444444,99.30555556
173,13,64673,2643,1,885,1419.649,60.41231638,39.58768362,1420,60.4519774,39.5480226
191,28,34622,1215,11,1031,962.879,6.607274491,93.39272551,963,6.595538312,93.40446169
128,37,13397,507,30,639,585.229,8.41486698,91.58513302,585,8.450704225,91.54929577
135,21,7225,328,2,145,222.47,53.42758621,46.57241379,222,53.10344828,46.89655172
236,21,43529,881,9,463,734.536,58.64708423,41.35291577,735,58.74730022,41.25269978
254,37,184179,2990,32,1307,1329.874,1.750114767,98.24988523,1330,1.759755164,98.24024484
295,51,170104,3524,9,1332,1143.825,14.12725225,85.87274775,1144,14.11411411,85.88588589
138,45,8816,385,5,155,186.116,20.07483871,79.92516129,186,20,80
220,51,99189,2322,5,1307,1382.936,5.809946442,94.19005356,1383,5.814843152,94.18515685
284,47,212649,2758,26,1646,1770.876,7.586634265,92.41336574,1771,7.594167679,92.40583232
317,12,851825,17372,72,5504,4731.564,14.0340843,85.9659157,4732,14.02616279,85.97383721
131,47,15060,243,1,217,348.106,60.41751152,39.58248848,348,60.36866359,39.63133641
187,47,51431,646,9,1291,1345.179,4.196669249,95.80333075,1345,4.182804028,95.81719597
161,12,64448,2765,53,1070,1369.199,27.96252336,72.03747664,1369,27.94392523,72.05607477
157,21,10977,466,8,272,287.888,5.841176471,94.15882353,288,5.882352941,94.11764706
94,13,5931,198,22,488,896.105,83.62807377,16.37192623,896,83.60655738,16.39344262
309,28,123887,3405,8,1612,846.19,47.50682382,52.49317618,846,47.51861042,52.48138958
235,1,114532,2011,15,900,1296.009,44.001,55.999,1296,44,56
244,45,118992,2720,11,668,1046.865,56.71631737,43.28368263,1047,56.73652695,43.26347305
173,21,13750,526,2,120,190.893,59.0775,40.9225,191,59.16666667,40.83333333
149,21,9184,409,9,107,207.323,93.75981308,6.240186916,207,93.45794393,6.542056075
308,47,266357,3454,75,1770,2599.175,46.8460452,53.1539548,2599,46.83615819,53.16384181
291,37,243725,3929,19,2102,2163.496,2.925594672,97.07440533,2163,2.901998097,97.0980019
67,45,2,0,0,2,0.098,95.1,4.9,0,100,0
306,13,390428,7981,2,1435,1537.872,7.168780488,92.83121951,1538,7.177700348,92.82229965
111,45,4439,124,4,62,169.186,172.8806452,-72.88064516,169,172.5806452,-72.58064516
288,45,159809,3593,17,926,877.83,5.201943844,94.79805616,878,5.183585313,94.81641469
306,47,261426,3353,0,754,1840.905,144.1518568,-44.15185676,1841,144.1644562,-44.16445623
201,13,145038,3173,5,3193,2992.014,6.294581898,93.7054181,2992,6.295020357,93.70497964
282,21,77455,1234,11,868,1528.641,76.11071429,23.88928571,1529,76.15207373,23.84792627
270,21,66036,1154,5,970,535.292,44.81525773,55.18474227,535,44.84536082,55.15463918
268,13,327158,6822,49,1608,1874.68,16.58457711,83.41542289,1875,16.60447761,83.39552239
104,21,2048,104,7,85,123.568,45.37411765,54.62588235,124,45.88235294,54.11764706
251,37,181070,2897,7,1039,1220.328,17.45216554,82.54783446,1220,17.42059673,82.57940327
176,13,69639,2698,11,1835,1724.49,6.022343324,93.97765668,1724,6.049046322,93.95095368
326,28,143180,3676,19,779,1581.893,103.0671374,-3.067137356,1582,103.0808729,-3.080872914
302,51,178183,3636,20,1429,1214.56,15.00629811,84.99370189,1215,14.97550735,85.02449265
112,1,5668,180,33,244,266.826,9.354918033,90.64508197,267,9.426229508,90.57377049
300,21,97866,1410,3,924,1420.472,53.73073593,46.26926407,1420,53.67965368,46.32034632
190,21,17919,608,6,400,455.989,13.99725,86.00275,456,14,86
314,51,194913,3726,13,1435,1374.024,4.249198606,95.75080139,1374,4.25087108,95.74912892
168,47,31830,493,10,670,755.912,12.82268657,87.17731343,756,12.8358209,87.1641791
297,28,115088,3255,17,1212,853.454,29.5830033,70.4169967,853,29.62046205,70.37953795
303,45,174591,3889,13,1100,1012.912,7.917090909,92.08290909,1013,7.909090909,92.09090909
90,28,937,20,4,90,132.577,47.30777778,52.69222222,133,47.77777778,52.22222222
242,51,119747,2569,1,938,674.984,28.04008529,71.95991471,675,28.03837953,71.96162047
317,28,131970,3519,5,1305,1236.284,5.26559387,94.73440613,1236,5.287356322,94.71264368
154,28,16322,782,14,301,368.107,22.29468439,77.70531561,368,22.25913621,77.74086379
103,28,2942,98,5,300,188.337,37.221,62.779,188,37.33333333,62.66666667
278,37,217496,3634,5,610,2073.916,239.9862295,-139.9862295,2074,240,-140
334,51,237836,4062,4,1893,2528.092,33.54949815,66.45050185,2528,33.54463814,66.45536186
188,13,97534,2878,18,1642,3124.271,90.27228989,9.72771011,3124,90.25578563,9.744214373
234,51,112072,2443,7,1212,837.36,30.91089109,69.08910891,837,30.94059406,69.05940594
110,1,4946,165,52,223,552.45,147.735426,-47.73542601,552,147.5336323,-47.53363229
174,28,22287,978,40,1646,760.707,53.7845079,46.2154921,761,53.76670717,46.23329283
325,1,228373,3451,32,2463,2736.911,11.12103126,88.87896874,2737,11.12464474,88.87535526
268,1,148206,2480,-8,1053,928.41,11.83190883,88.16809117,928,11.8708452,88.1291548
218,51,95867,2299,25,818,1251.616,53.00929095,46.99070905,1252,53.05623472,46.94376528
293,13,364909,7657,19,1134,1536.934,35.53209877,64.46790123,1537,35.53791887,64.46208113
109,21,2707,144,7,185,130.176,29.63459459,70.36540541,130,29.72972973,70.27027027
278,12,707751,14671,43,1813,1741.888,3.922338665,96.07766133,1742,3.916161059,96.08383894
210,1,82530,1493,1,1260,1612.05,27.94047619,72.05952381,1612,27.93650794,72.06349206
118,21,4146,213,5,72,158.768,120.5111111,-20.51111111,159,120.8333333,-20.83333333
311,51,190874,3704,22,2103,1353.03,35.66191155,64.33808845,1353,35.66333809,64.33666191
90,45,925,18,2,151,131.312,13.0384106,86.9615894,131,13.24503311,86.75496689
83,47,615,2,0,110,86.071,21.75363636,78.24636364,86,21.81818182,78.18181818
189,47,53514,665,12,1359,1355.93,0.225901398,99.7740986,1356,0.220750552,99.77924945
266,21,62731,1119,7,814,889.616,9.289434889,90.71056511,890,9.336609337,90.66339066
320,21,137586,1661,3,1449,1898.205,31.0010352,68.9989648,1898,30.98688751,69.01311249
274,45,147942,3378,19,308,889.362,188.7538961,-88.7538961,889,188.6363636,-88.63636364
223,51,101746,2344,17,996,887.241,10.91957831,89.08042169,887,10.9437751,89.0562249
246,37,173509,2779,38,1216,1973.733,62.31356908,37.68643092,1974,62.33552632,37.66447368
265,12,677362,13317,21,1671,1997.921,19.56439258,80.43560742,1998,19.56912029,80.43087971
287,12,729591,15531,119,2657,3172.724,19.41001129,80.58998871,3173,19.42039895,80.57960105
142,51,34950,1136,37,813,971.716,19.52226322,80.47773678,972,19.55719557,80.44280443
90,13,3224,103,19,389,828.815,113.062982,-13.06298201,829,113.1105398,-13.11053985
145,51,37727,1208,37,1483,1042.925,29.67464599,70.32535401,1043,29.66958867,70.33041133
277,12,705938,14628,74,2726,2766.984,1.503448276,98.49655172,2767,1.504035216,98.49596478
86,45,456,9,2,32,80.531,151.659375,-51.659375,81,153.125,-53.125
101,37,3908,74,9,257,240.615,6.375486381,93.62451362,241,6.225680934,93.77431907
253,12,644781,12115,200,2006,3371.306,68.06111665,31.93888335,3371,68.04586241,31.95413759
175,37,54470,1251,28,854,1492.366,74.7501171,25.2498829,1492,74.70725995,25.29274005
78,47,98,0,0,25,26.903,7.612,92.388,27,8,92
205,12,385091,5518,173,10171,10580.215,4.023350703,95.9766493,10580,4.02123685,95.97876315
109,47,6763,145,4,433,179.008,58.65866051,41.34133949,179,58.66050808,41.33949192
252,12,642775,11915,44,1797,2231.387,24.17289928,75.82710072,2231,24.15136338,75.84863662
88,13,2592,79,14,225,608.401,170.4004444,-70.40044444,608,170.2222222,-70.22222222
190,45,48909,884,38,1557,1581.713,1.587219011,98.41278099,1582,1.605651895,98.39434811
228,45,105882,2260,56,1041,920.971,11.5301633,88.4698367,921,11.52737752,88.47262248
330,21,166139,1835,26,3301,3293.735,0.220084823,99.77991518,3294,0.212056952,99.78794305
75,37,32,0,0,9,5.975,33.61111111,66.38888889,6,33.33333333,66.66666667
330,12,946956,18254,97,8126,9596.242,18.09305932,81.90694068,9596,18.09008122,81.90991878
222,1,101334,1768,17,981,1337.296,36.3196738,63.6803262,1337,36.28950051,63.71049949
180,1,36350,924,1,1245,683.369,45.11092369,54.88907631,683,45.14056225,54.85943775
101,47,4863,98,4,228,289.982,27.18508772,72.81491228,290,27.19298246,72.80701754
153,12,55415,2460,9,651,828.647,27.28832565,72.71167435,829,27.34254992,72.65745008
274,28,98886,2979,10,696,662.846,4.763505747,95.23649425,663,4.74137931,95.25862069
214,51,91782,2218,3,981,1131.527,15.34424057,84.65575943,1132,15.39245668,84.60754332
102,51,5077,130,9,568,391.333,31.10334507,68.89665493,391,31.16197183,68.83802817
149,1,16729,594,10,467,473.138,1.314346895,98.6856531,473,1.284796574,98.71520343
154,21,10185,442,3,139,281.839,102.7618705,-2.761870504,282,102.8776978,-2.877697842
257,47,171824,2078,14,933,1498.548,60.61607717,39.38392283,1499,60.66452304,39.33547696
242,12,612206,11105,148,3132,3397.263,8.469444444,91.53055556,3397,8.461047254,91.53895275
248,47,160597,1837,22,1051,1457.016,38.63139867,61.36860133,1457,38.62987631,61.37012369
302,21,101494,1442,14,1857,1713.055,7.751480883,92.24851912,1713,7.754442649,92.24555735
246,21,49991,966,18,806,774.082,3.960049628,96.03995037,774,3.970223325,96.02977667
103,13,12203,447,15,157,653.929,316.5152866,-216.5152866,654,316.5605096,-216.5605096
267,28,95310,2874,4,737,465.136,36.88792402,63.11207598,465,36.9063772,63.0936228
320,13,424989,8957,1,2084,1504.141,27.82432821,72.17567179,1504,27.83109405,72.16890595
321,51,206763,3835,30,2125,2095.179,1.403341176,98.59665882,2095,1.411764706,98.58823529
122,13,26176,1167,56,935,776.617,16.93935829,83.06064171,777,16.89839572,83.10160428
160,51,51738,1496,19,487,742.881,52.54229979,47.45770021,743,52.56673511,47.43326489
288,37,236407,3856,40,1926,1946.545,1.066718588,98.93328141,1947,1.090342679,98.90965732
92,13,4806,154,24,570,934.034,63.86561404,36.13438596,934,63.85964912,36.14035088
262,45,136318,3177,19,872,873.786,0.204816514,99.79518349,874,0.229357798,99.7706422
226,37,142636,2287,38,1978,1206.842,38.9867543,61.0132457,1207,38.97876643,61.02123357
