days,fips,tot_cases,tot_death,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,rounded %error,rounded %accuracy
334,28,153270,3807,1,-23,-20,-34,14,-24,7,1485,1603.485,7.978787879,92.02121212,1603,7.946127946,92.05387205
76,12,142,5,1,-6,14,0,-16,-18,6,6,59.519,891.9833333,-791.9833333,60,900,-800
206,45,78607,1385,51,-11,-2,37,-1,-31,9,2001,1692.427,15.42093953,84.57906047,1692,15.44227886,84.55772114
219,45,96797,1943,49,-8,-2,34,-4,-31,9,1325,1489.133,12.38739623,87.61260377,1489,12.37735849,87.62264151
105,45,3553,97,10,-29,-6,-11,-27,-41,15,114,182.429,60.0254386,39.9745614,182,59.64912281,40.35087719
305,1,192285,2967,35,-11,6,47,-6,-9,-1,1789,1413.265,21.00251537,78.99748463,1413,21.01732812,78.98267188
133,12,41923,1779,44,-30,-12,-24,-45,-39,15,941,544.629,42.12231668,57.87768332,545,42.08289054,57.91710946
329,12,938830,18157,72,-11,1,-21,-28,-34,8,8102,6858.713,15.34543323,84.65456677,6859,15.34189089,84.65810911
304,21,105242,1476,15,-9,3,45,-6,-26,6,1937,1648.486,14.894889,85.105111,1648,14.91997935,85.08002065
72,13,88,1,1,8,24,23,-2,-1,0,33,29.458,10.73333333,89.26666667,29,12.12121212,87.87878788
228,21,38930,810,6,-10,8,183,4,-11,1,632,702.443,11.1460443,88.8539557,702,11.07594937,88.92405063
332,37,354514,5210,72,-23,-15,51,-40,-60,16,8008,3479.812,56.5458042,43.4541958,3480,56.54345654,43.45654346
289,21,84195,1296,20,-12,1,41,-3,-27,7,1182,1182.151,0.012774958,99.98722504,1182,0,100
296,45,167485,3755,47,-8,-4,29,-3,-23,6,1128,1007.867,10.65008865,89.34991135,1008,10.63829787,89.36170213
251,45,125607,2907,20,-8,-2,90,-8,-66,15,655,918.386,40.21160305,59.78839695,918,40.15267176,59.84732824
273,13,333811,6994,33,-16,-7,-21,-35,-31,10,1368,1598.22,16.82894737,83.17105263,1598,16.8128655,83.1871345
240,45,114598,2628,55,-9,-3,31,-5,-28,7,505,1025.372,103.0439604,-3.043960396,1025,102.970297,-2.97029703
316,13,413415,8333,-397,-12,-8,-15,-33,-34,11,2232,1831.062,17.96317204,82.03682796,1831,17.96594982,82.03405018
214,47,108184,1067,7,-6,7,108,1,-10,2,2225,1821.443,18.13739326,81.86260674,1821,18.15730337,81.84269663
297,1,180916,2859,16,-11,-6,20,-8,-22,5,3852,1275.049,66.89903946,33.10096054,1275,66.90031153,33.09968847
185,47,48712,633,13,1,19,157,-11,-55,11,1822,1539.431,15.50872667,84.49127333,1539,15.532382,84.467618
116,28,5718,221,12,-26,-2,3,-25,-25,9,284,210.83,25.76408451,74.23591549,211,25.70422535,74.29577465
126,51,20256,713,29,-28,-6,5,-45,-47,19,764,929.299,21.63599476,78.36400524,929,21.59685864,78.40314136
93,13,5443,176,22,-29,11,-15,-46,-47,19,637,552.116,13.3255887,86.6744113,552,13.34379906,86.65620094
268,47,187544,2310,35,-12,-6,14,-16,-25,8,835,1482.352,77.52718563,22.47281437,1482,77.48502994,22.51497006
142,1,13647,534,10,-5,9,40,-4,-30,10,347,311.622,10.19538905,89.80461095,312,10.08645533,89.91354467
270,47,190891,2374,22,-9,1,111,-8,-6,0,1437,1586.312,10.39053584,89.60946416,1586,10.36882394,89.63117606
156,45,13005,525,7,-2,7,38,2,-28,9,354,349.63,1.234463277,98.76553672,350,1.129943503,98.8700565
206,28,51097,1480,17,-12,-7,18,-1,-30,9,1434,1198.063,16.45306834,83.54693166,1198,16.45746165,83.54253835
133,37,15346,577,27,-20,1,42,-31,-38,14,301,583.288,93.7833887,6.216611296,583,93.68770764,6.312292359
114,12,28843,987,60,-43,-21,-47,-55,-47,20,1052,952.333,9.47404943,90.52595057,952,9.505703422,90.49429658
87,1,639,3,2,-30,-2,30,-24,-37,16,108,96.019,11.09351852,88.90648148,96,11.11111111,88.88888889
320,47,310937,3893,16,-10,-2,16,-14,-15,3,5817,3681.149,36.71739728,63.28260272,3681,36.71995874,63.28004126
246,13,285667,5795,62,-11,-6,35,-31,-34,8,2386,2491.744,4.431852473,95.56814753,2492,4.442581727,95.55741827
