days,fips,tot_cases,tot_death,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
121,13,25241,1111,57,-23,-4,-15,-44,-45,18,537,770.059
276,47,198403,2515,14,-7,-1,62,-10,-24,4,971,1437.008
99,13,10080,371,20,-39,-14,-6,-49,-52,20,1130,816.32
318,1,213617,3231,18,-12,-6,11,-11,-21,6,2980,2044.085
328,47,344550,4301,35,-5,2,18,-14,-28,8,4074,3641.111
239,47,147353,1648,20,-8,0,69,-16,-28,7,1936,1237.772
82,37,255,0,0,-39,-10,-7,-42,-29,9,71,74.967
240,28,81294,2413,14,-14,-10,8,-6,-24,8,599,797.695
248,21,51677,987,11,-8,6,133,3,-33,6,792,900.926
163,51,53211,1534,14,-17,-1,50,-35,-40,14,564,545.813
243,12,614753,11119,14,-27,-19,-34,-46,-23,6,2547,2105.218
197,1,59113,1211,45,-3,3,42,1,-31,8,1805,1805.566
151,47,22720,366,5,-9,8,133,-5,-5,1,484,657.132
289,45,161106,3607,14,-8,-3,25,-2,-24,6,1297,958.787
304,28,120160,3334,6,-10,-6,0,8,-25,2,824,667.898
83,1,196,0,0,-33,-6,-11,-22,-33,14,39,60.721
100,1,2838,48,0,-35,-4,5,-31,-43,18,339,106.95
129,28,9378,422,13,-20,-3,-12,-19,-34,15,288,287.834
173,13,64673,2643,1,-14,0,50,-35,-18,2,885,1316.673
191,28,34622,1215,11,-2,3,38,3,-29,8,1031,904.23
128,37,13397,507,30,-22,2,29,-37,-40,15,639,547.356
135,21,7225,328,2,-18,7,90,-17,-39,12,145,183.928
236,21,43529,881,9,-11,2,123,1,-12,1,463,661.068
254,37,184179,2990,32,-14,-3,49,-25,-33,7,1307,1348.541
295,51,170104,3524,9,-12,-3,56,-31,-34,10,1332,1171.495
138,45,8816,385,5,-12,4,51,-4,-23,5,155,225.309
220,51,99189,2322,5,-14,-2,76,-31,-39,11,1307,1352.111
284,47,212649,2758,26,-17,-6,29,-8,-11,4,1646,2018.107
317,12,851825,17372,72,-24,-17,-40,-41,-34,12,5504,4907.623
131,47,15060,243,1,-12,14,50,-20,-23,3,217,314.101
187,47,51431,646,9,-14,-4,79,-8,-21,3,1291,1398.49
161,12,64448,2765,53,-20,-10,-20,-41,-32,12,1070,1326.765
157,21,10977,466,8,-10,9,105,-10,-33,10,272,265.514
94,13,5931,198,22,-37,0,4,-50,-48,20,488,623.697
309,28,123887,3405,8,-7,-5,5,7,-17,4,1612,856.094
235,1,114532,2011,15,-13,0,53,2,-9,3,900,1268.266
244,45,118992,2720,11,-8,-3,26,-9,-27,6,668,913.711
173,21,13750,526,2,-11,7,89,-4,-13,1,120,256.204
149,21,9184,409,9,-8,10,74,-12,-34,10,107,246.186
308,47,266357,3454,75,-3,4,44,-15,-27,7,1770,2459.656
291,37,243725,3929,19,-10,-1,97,-13,-11,1,2102,2215.795
67,45,2,0,0,11,7,53,18,3,-2,2,4.676
306,13,390428,7981,2,-12,-7,24,-28,-16,3,1435,1537.29
111,45,4439,124,4,-30,-11,-25,-33,-40,16,62,171.977
288,45,159809,3593,17,-7,-3,27,-5,-24,6,926,900.904
306,47,261426,3353,0,-8,-1,38,-12,-16,2,754,2096.751
201,13,145038,3173,5,-15,-4,51,-31,-21,4,3193,2876.858
282,21,77455,1234,11,-11,0,77,-3,-29,6,868,1344.213
270,21,66036,1154,5,-11,4,175,3,-7,0,970,778.562
268,13,327158,6822,49,-17,-11,-24,-33,-32,11,1608,1966.498
104,21,2048,104,7,-37,-13,-16,-39,-46,19,85,151.104
251,37,181070,2897,7,-12,-1,134,-31,-69,14,1039,1233.932
176,13,69639,2698,11,-10,-3,25,-33,-36,11,1835,1679.701
326,28,143180,3676,19,-11,-4,19,19,-11,2,779,1678.236
302,51,178183,3636,20,-12,-3,40,-31,-34,10,1429,1269.442
112,1,5668,180,33,-23,-4,18,-23,-38,15,244,221.801
102,47,4863,100,2,-40,2,11,-36,-33,10,0,245.414
300,21,97866,1410,3,-14,-5,12,-7,-26,8,924,1264.251
190,21,17919,608,6,-4,8,97,-5,-32,8,400,401.373
314,51,194913,3726,13,-17,-8,29,-36,-32,11,1435,1461.275
168,47,31830,493,10,2,7,108,-12,-28,7,670,715.225
297,28,115088,3255,17,-13,-11,6,1,-19,4,1212,849.932
303,45,174591,3889,13,-9,-7,-1,-7,-27,7,1100,1051.536
90,28,937,20,4,-26,-6,4,-23,-34,13,90,130.818
242,51,119747,2569,1,-19,-4,46,-22,-14,5,938,774.219
317,28,131970,3519,5,-12,-8,9,3,-18,5,1305,1321.063
154,28,16322,782,14,5,8,43,3,-25,7,301,360.393
103,28,2942,98,5,-63,-44,-50,-49,-43,14,300,326.981
278,37,217496,3634,5,-11,-2,35,-21,-15,1,610,2022.09
334,51,237836,4062,4,-20,-12,19,-18,-15,5,1893,2602.586
152,21,9704,431,0,-9,10,153,-4,-13,2,0,60.216
188,13,97534,2878,18,-12,-4,20,-32,-41,11,1642,3088.056
234,51,112072,2443,7,-15,-5,74,-31,-39,11,1212,968.268
110,1,4946,165,52,-45,-24,-44,-45,-37,12,223,642.846
174,28,22287,978,40,-4,0,17,2,-28,7,1646,817.122
325,1,228373,3451,32,-12,-4,7,-7,-21,6,2463,2727.285
268,1,148206,2480,-8,-17,-10,-14,-12,-25,8,1053,940.13
218,51,95867,2299,25,-9,0,79,-31,-41,11,818,1179.481
293,13,364909,7657,19,-14,-6,35,-30,-28,7,1134,1530.042
109,21,2707,144,7,-34,-3,67,-29,-29,9,185,197.111
278,12,707751,14671,43,-23,-15,-44,-42,-22,5,1813,2066.656
210,1,82530,1493,1,-9,-1,24,-4,-30,9,1260,1578.05
118,21,4146,213,5,-20,-1,55,-27,-42,15,72,151.703
311,51,190874,3704,22,-17,-8,41,-32,-32,11,2103,1471.825
90,45,925,18,2,-30,-8,-1,-30,-36,13,151,126.895
83,47,615,2,0,-32,-2,-16,-27,-34,15,110,93.366
189,47,53514,665,12,-1,5,103,-9,-33,8,1359,1546.057
266,21,62731,1119,7,-11,0,79,-4,-28,6,814,782.68
320,21,137586,1661,3,-17,-3,16,-6,-13,4,1449,2286.893
274,45,147942,3378,19,-5,-3,23,-6,-25,5,308,842.768
223,51,101746,2344,17,-12,-4,69,-34,-39,11,996,911.599
246,37,173509,2779,38,-12,-4,45,-25,-33,8,1216,1771.585
265,12,677362,13317,21,-24,-17,-32,-40,-33,9,1671,1753.833
287,12,729591,15531,119,-22,-13,-21,-37,-30,8,2657,3317.556
142,51,34950,1136,37,-27,-6,14,-41,-45,18,813,968.59
