days,fips,new_case,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
284,47,1646,26,-17,-6,29,-8,-11,4,2758,2926.538
317,12,5504,72,-24,-17,-40,-41,-34,12,17372,17150.69
131,47,217,1,-12,14,50,-20,-23,3,243,287.848
187,47,1291,9,-14,-4,79,-8,-21,3,646,869.098
161,12,1070,53,-20,-10,-20,-41,-32,12,2765,2588.312
157,21,272,8,-10,9,105,-10,-33,10,466,469.88
94,13,488,22,-37,0,4,-50,-48,20,198,119.253
309,28,1612,8,-7,-5,5,7,-17,4,3405,3427.563
235,1,900,15,-13,0,53,2,-9,3,2011,2005.766
244,45,668,11,-8,-3,26,-9,-27,6,2720,2674.915
173,21,120,2,-11,7,89,-4,-13,1,526,553.517
149,21,107,9,-8,10,74,-12,-34,10,409,433.228
308,47,1770,75,-3,4,44,-15,-27,7,3454,3548.435
291,37,2102,19,-10,-1,97,-13,-11,1,3929,3575.179
67,45,2,0,11,7,53,18,3,-2,0,0.0
306,13,1435,2,-12,-7,24,-28,-16,3,7981,8039.875
111,45,62,4,-30,-11,-25,-33,-40,16,124,148.391
288,45,926,17,-7,-3,27,-5,-24,6,3593,3565.742
306,47,754,0,-8,-1,38,-12,-16,2,3353,3535.612
201,13,3193,5,-15,-4,51,-31,-21,4,3173,3117.255
282,21,868,11,-11,0,77,-3,-29,6,1234,1231.112
270,21,970,5,-11,4,175,3,-7,0,1154,1156.627
268,13,1608,49,-17,-11,-24,-33,-32,11,6822,9381.201
104,21,85,7,-37,-13,-16,-39,-46,19,104,92.943
251,37,1039,7,-12,-1,134,-31,-69,14,2897,2687.691
176,13,1835,11,-10,-3,25,-33,-36,11,2698,2726.978
326,28,779,19,-11,-4,19,19,-11,2,3676,3648.662
302,51,1429,20,-12,-3,40,-31,-34,10,3636,3665.104
112,1,244,33,-23,-4,18,-23,-38,15,180,328.03
102,47,0,2,-40,2,11,-36,-33,10,100,93.571
300,21,924,3,-14,-5,12,-7,-26,8,1410,1430.18
190,21,400,6,-4,8,97,-5,-32,8,608,625.531
314,51,1435,13,-17,-8,29,-36,-32,11,3726,3727.632
168,47,670,10,2,7,108,-12,-28,7,493,502.161
297,28,1212,17,-13,-11,6,1,-19,4,3255,3265.657
303,45,1100,13,-9,-7,-1,-7,-27,7,3889,3840.282
90,28,90,4,-26,-6,4,-23,-34,13,20,16.732
242,51,938,1,-19,-4,46,-22,-14,5,2569,2535.611
317,28,1305,5,-12,-8,9,3,-18,5,3519,3526.669
154,28,301,14,5,8,43,3,-25,7,782,774.515
103,28,300,5,-63,-44,-50,-49,-43,14,98,91.212
278,37,610,5,-11,-2,35,-21,-15,1,3634,3520.984
334,51,1893,4,-20,-12,19,-18,-15,5,4062,4381.063
152,21,0,0,-9,10,153,-4,-13,2,431,479.649
188,13,1642,18,-12,-4,20,-32,-41,11,2878,2728.207
234,51,1212,7,-15,-5,74,-31,-39,11,2443,2442.25
110,1,223,52,-45,-24,-44,-45,-37,12,165,565.863
174,28,1646,40,-4,0,17,2,-28,7,978,981.62
325,1,2463,32,-12,-4,7,-7,-21,6,3451,3345.377
268,1,1053,-8,-17,-10,-14,-12,-25,8,2480,2874.391
218,51,818,25,-9,0,79,-31,-41,11,2299,2137.331
293,13,1134,19,-14,-6,35,-30,-28,7,7657,7684.762
109,21,185,7,-34,-3,67,-29,-29,9,144,149.821
278,12,1813,43,-23,-15,-44,-42,-22,5,14671,14310.051
210,1,1260,1,-9,-1,24,-4,-30,9,1493,1516.895
118,21,72,5,-20,-1,55,-27,-42,15,213,223.813
311,51,2103,22,-17,-8,41,-32,-32,11,3704,3817.754
90,45,151,2,-30,-8,-1,-30,-36,13,18,14.149
83,47,110,0,-32,-2,-16,-27,-34,15,2,3.568
189,47,1359,12,-1,5,103,-9,-33,8,665,703.435
266,21,814,7,-11,0,79,-4,-28,6,1119,1112.99
320,21,1449,3,-17,-3,16,-6,-13,4,1661,1740.653
274,45,308,19,-5,-3,23,-6,-25,5,3378,3377.055
223,51,996,17,-12,-4,69,-34,-39,11,2344,2307.81
246,37,1216,38,-12,-4,45,-25,-33,8,2779,2756.944
265,12,1671,21,-24,-17,-32,-40,-33,9,13317,13440.949
287,12,2657,119,-22,-13,-21,-37,-30,8,15531,15190.975
142,51,813,37,-27,-6,14,-41,-45,18,1136,1106.83
90,13,389,19,-34,-10,2,-47,-44,16,103,57.643
145,51,1483,37,-29,-7,62,-40,-27,7,1208,1290.654
277,12,2726,74,-22,-14,-33,-42,-19,4,14628,14607.57
86,45,32,2,-31,-6,-5,-24,-35,15,9,7.108
101,37,257,9,-36,-6,12,-52,-57,21,74,102.432
253,12,2006,200,-24,-17,-29,-42,-33,9,12115,12455.546
175,37,854,28,-9,3,77,-21,-34,10,1251,1122.423
78,47,25,0,-15,14,21,-13,-22,9,0,0.51
205,12,10171,173,-25,-16,-31,-43,-37,13,5518,5516.172
109,47,433,4,-33,-4,2,-28,-27,9,145,178.339
252,12,1797,44,-25,-15,-30,-38,-35,9,11915,12266.617
88,13,225,14,-39,-10,14,-43,-28,12,79,46.257
190,45,1557,38,-5,2,36,-1,-32,9,884,976.365
228,45,1041,56,-12,0,50,3,-13,3,2260,2163.713
330,21,3301,26,-5,27,1,-6,-38,9,1835,2356.26
75,37,9,0,-8,13,-3,-14,-9,3,0,0.394
330,12,8126,97,-4,15,-20,-24,-37,7,18254,16346.108
222,1,981,17,-11,1,49,5,-17,3,1768,1876.657
180,1,1245,1,-10,1,58,11,-13,3,924,970.058
101,47,228,4,-36,-5,-5,-39,-53,20,98,94.463
153,12,651,9,-21,-9,-24,-42,-33,11,2460,2359.866
274,28,696,10,-4,-3,20,9,-19,3,2979,2984.828
214,51,981,3,-16,3,93,-16,-13,4,2218,1870.688
74,1,0,0,1,28,55,12,4,0,0,0.276
102,51,568,9,-40,-9,17,-49,-36,13,130,165.556
149,1,467,10,-6,7,31,-4,-28,10,594,605.106
154,21,139,3,-5,12,95,-10,-32,9,442,466.489
257,47,933,14,-12,-3,49,-12,-18,2,2078,2273.302
125,51,0,0,-26,-7,39,-45,-45,17,684,591.46
242,12,3132,148,-26,-16,-22,-45,-20,5,11105,11090.433
248,47,1051,22,-7,0,83,-6,-30,5,1837,1845.378
302,21,1857,14,-13,-1,31,-7,-25,7,1442,1481.732
246,21,806,18,-10,1,64,-8,-30,7,966,990.659
103,13,157,15,-63,-42,-57,-65,-49,14,447,155.366
267,28,737,4,-11,-9,0,1,-20,6,2874,2889.38
320,13,2084,1,-14,-7,13,-29,-16,3,8957,8707.299
321,51,2125,30,-17,-6,13,-36,-32,11,3835,3908.474
122,13,935,56,-21,-2,45,-41,-43,15,1167,1157.053
160,51,487,19,-16,-3,70,-35,-38,13,1496,1498.64
288,37,1926,40,-11,-3,49,-23,-29,7,3856,3785.634
92,13,570,24,-30,1,-5,-44,-47,18,154,138.331
262,45,872,19,-9,-4,23,-7,-26,5,3177,3157.21
226,37,1978,38,-12,-2,41,-24,-35,9,2287,2273.518
178,21,242,7,-9,6,141,-3,-32,8,553,561.215
206,21,784,7,-11,3,135,-6,-32,8,691,714.234
95,13,422,10,-50,-18,-18,-53,-36,16,208,81.407
164,28,865,21,-4,2,50,2,-26,6,889,882.71
188,51,638,28,-11,-1,75,-29,-42,12,1881,1822.324
238,21,669,10,-12,1,80,-9,-32,7,895,914.16
228,37,1662,30,-16,-3,41,-20,-15,4,2343,2206.191
113,28,437,18,-18,-2,-5,-21,-38,14,201,206.29
260,13,2669,21,-16,-12,-8,-36,-33,10,6419,7135.252
248,13,2298,63,-11,-4,56,-23,-35,7,5931,5795.425
122,12,1038,46,-36,-13,-27,-51,-43,18,1314,1231.195
300,13,1346,18,-15,-6,25,-30,-28,7,7827,7842.389
139,45,126,6,-10,-1,15,-14,-30,11,391,419.061
64,12,0,0,6,6,14,1,1,0,0,0.676
284,21,989,7,-12,2,111,6,-9,2,1249,1249.05
195,37,1846,7,-9,2,77,-23,-35,9,1510,1558.585
300,51,1134,19,-16,-6,24,-34,-32,11,3600,3591.42
134,13,558,41,-16,-2,32,-39,-40,14,1505,1484.291
324,37,4296,38,-15,-2,2,-31,-28,9,4936,5254.543
191,12,8891,56,-22,-10,-12,-39,-36,12,4009,3888.275
192,21,425,8,-10,5,127,-4,-33,8,620,629.524
297,47,3606,65,-10,-5,64,-9,-24,5,3076,3245.972
213,13,4308,81,-11,-3,63,-30,-37,9,3752,3756.678
221,45,1241,45,-10,3,80,7,-11,2,2007,1618.027
190,1,1170,25,-3,3,40,1,-31,8,1057,1084.606
121,1,201,20,-18,3,15,-18,-37,14,280,310.65
103,12,892,15,-66,-49,-63,-69,-50,15,461,336.812
293,1,859,1,-12,-4,18,-8,-22,5,2789,2799.55
155,45,236,17,2,8,49,3,-28,8,518,549.782
