days,fips,new_case,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,rounded %error,rounded %accuracy
282,21,868,11,-11,0,77,-3,-29,6,1234,1231.112,0.234035656,99.76596434,1231,0.243111831,99.75688817
270,21,970,5,-11,4,175,3,-7,0,1154,1156.627,0.227642981,99.77235702,1157,0.259965338,99.74003466
268,13,1608,49,-17,-11,-24,-33,-32,11,6822,9381.201,37.51394019,62.48605981,9381,37.51099384,62.48900616
104,21,85,7,-37,-13,-16,-39,-46,19,104,92.943,10.63173077,89.36826923,93,10.57692308,89.42307692
251,37,1039,7,-12,-1,134,-31,-69,14,2897,2687.691,7.225025889,92.77497411,2688,7.214359682,92.78564032
176,13,1835,11,-10,-3,25,-33,-36,11,2698,2726.978,1.074054855,98.92594514,2727,1.074870274,98.92512973
326,28,779,19,-11,-4,19,19,-11,2,3676,3648.662,0.743688792,99.25631121,3649,0.734494015,99.26550598
302,51,1429,20,-12,-3,40,-31,-34,10,3636,3665.104,0.800440044,99.19955996,3665,0.797579758,99.20242024
112,1,244,33,-23,-4,18,-23,-38,15,180,328.03,82.23888889,17.76111111,328,82.22222222,17.77777778
102,47,0,2,-40,2,11,-36,-33,10,100,93.571,6.429,93.571,94,6,94
300,21,924,3,-14,-5,12,-7,-26,8,1410,1430.18,1.431205674,98.56879433,1430,1.418439716,98.58156028
190,21,400,6,-4,8,97,-5,-32,8,608,625.531,2.883388158,97.11661184,626,2.960526316,97.03947368
314,51,1435,13,-17,-8,29,-36,-32,11,3726,3727.632,0.043800322,99.95619968,3728,0.053676865,99.94632313
168,47,670,10,2,7,108,-12,-28,7,493,502.161,1.85821501,98.14178499,502,1.825557809,98.17444219
297,28,1212,17,-13,-11,6,1,-19,4,3255,3265.657,0.327403994,99.67259601,3266,0.337941628,99.66205837
303,45,1100,13,-9,-7,-1,-7,-27,7,3889,3840.282,1.25271278,98.74728722,3840,1.259964001,98.740036
90,28,90,4,-26,-6,4,-23,-34,13,20,16.732,16.34,83.66,17,15,85
242,51,938,1,-19,-4,46,-22,-14,5,2569,2535.611,1.299688595,98.70031141,2536,1.284546516,98.71545348
317,28,1305,5,-12,-8,9,3,-18,5,3519,3526.669,0.21793123,99.78206877,3527,0.227337312,99.77266269
154,28,301,14,5,8,43,3,-25,7,782,774.515,0.957161125,99.04283887,775,0.895140665,99.10485934
103,28,300,5,-63,-44,-50,-49,-43,14,98,91.212,6.926530612,93.07346939,91,7.142857143,92.85714286
278,37,610,5,-11,-2,35,-21,-15,1,3634,3520.984,3.109961475,96.89003853,3521,3.109521189,96.89047881
334,51,1893,4,-20,-12,19,-18,-15,5,4062,4381.063,7.854825209,92.14517479,4381,7.853274249,92.14672575
152,21,0,0,-9,10,153,-4,-13,2,431,479.649,11.287471,88.712529,480,11.36890951,88.63109049
