days,fips,tot_cases,new_case,parks_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,predicted %error,predicted %accuracy
156,45,13005,354,38,525,560.168,6.698666667,93.30133333,560,6.666666667,93.33333333
206,28,51097,1434,18,1480,1515.721,2.413581081,97.58641892,1516,2.432432432,97.56756757
133,37,15346,301,42,577,569.074,1.373656846,98.62634315,569,1.386481802,98.6135182
114,12,28843,1052,-47,987,928.459,5.931205674,94.06879433,928,5.977710233,94.02228977
87,1,639,108,30,3,7.037,134.5666667,-34.56666667,7,133.3333333,-33.33333333
320,47,310937,5817,16,3893,3909.011,0.41127665,99.58872335,3909,0.410994092,99.58900591
246,13,285667,2386,35,5795,5733.855,1.055133736,98.94486626,5734,1.052631579,98.94736842
114,1,6071,240,-31,198,202.486,2.265656566,97.73434343,202,2.02020202,97.97979798
148,37,24629,488,-2,794,849.592,7.001511335,92.99848866,850,7.052896725,92.94710327
86,21,248,50,84,5,3.866,22.68,77.32,4,20,80
128,45,7142,206,10,316,308.145,2.485759494,97.51424051,308,2.53164557,97.46835443
286,12,726934,1519,-24,15412,15327.934,0.545458085,99.45454192,15328,0.545029847,99.45497015
289,12,735685,3286,-21,15736,15695.006,0.26051093,99.73948907,15695,0.260549059,99.73945094
192,37,81534,2007,85,1479,1515.679,2.479986477,97.52001352,1516,2.501690331,97.49830967
283,13,350033,2011,27,7348,7378.436,0.414207948,99.58579205,7378,0.40827436,99.59172564
208,21,27079,315,136,700,715.433,2.204714286,97.79528571,715,2.142857143,97.85714286
170,21,13197,202,93,520,529.694,1.864230769,98.13576923,530,1.923076923,98.07692308
174,37,53616,805,79,1223,1245.252,1.819460343,98.18053966,1245,1.798855274,98.20114473
102,12,18445,997,-54,446,554.23,24.26681614,75.73318386,554,24.21524664,75.78475336
236,12,594287,3004,-28,10325,10308.259,0.162140436,99.83785956,10308,0.16464891,99.83535109
230,28,73207,1071,17,2128,2097.464,1.434962406,98.56503759,2097,1.456766917,98.54323308
107,21,2429,138,29,129,125.735,2.531007752,97.46899225,126,2.325581395,97.6744186
132,45,7792,139,24,346,330.505,4.478323699,95.5216763,331,4.335260116,95.66473988
245,21,49185,789,77,948,956.861,0.934704641,99.06529536,957,0.949367089,99.05063291
190,12,220476,9882,-14,3953,4030.186,1.952592967,98.04740703,4030,1.94788768,98.05211232
236,13,262099,1812,33,5132,5052.005,1.558749026,98.44125097,5052,1.558846454,98.44115355
95,51,2407,395,4,52,39.431,24.17115385,75.82884615,39,25,75
96,1,1841,208,-1,31,43.106,39.0516129,60.9483871,43,38.70967742,61.29032258
194,21,19389,268,122,625,634.901,1.58416,98.41584,635,1.6,98.4
95,1,1633,98,4,26,33.668,29.49230769,70.50769231,34,30.76923077,69.23076923
293,51,167754,926,41,3485,3501.255,0.466427547,99.53357245,3501,0.459110473,99.54088953
205,37,107432,1945,44,1726,1776.83,2.944959444,97.05504056,1777,2.954808806,97.04519119
85,21,198,35,69,5,3.553,28.94,71.06,4,20,80
265,1,145780,818,28,2439,2468.147,1.19503895,98.80496105,2468,1.18901189,98.81098811
263,45,137240,922,67,3188,2971.689,6.785163112,93.21483689,2972,6.775407779,93.22459222
171,1,29017,803,72,823,825.149,0.261117861,99.73888214,825,0.243013366,99.75698663
98,21,1149,141,55,65,60.74,6.553846154,93.44615385,61,6.153846154,93.84615385
218,47,114098,1657,101,1144,1150.907,0.603758741,99.39624126,1151,0.611888112,99.38811189
240,12,605342,3229,-23,10868,10781.142,0.799208686,99.20079131,10781,0.800515274,99.19948473
179,12,130092,9518,-13,3390,3377.01,0.383185841,99.61681416,3377,0.383480826,99.61651917
274,21,68840,984,68,1174,1184.674,0.909199319,99.09080068,1185,0.936967632,99.06303237
314,37,294860,1521,27,4615,4614.975,0.000541712,99.99945829,4615,0,100
198,12,311640,13764,-15,4677,4587.432,1.915073765,98.08492623,4587,1.924310455,98.07568954
311,47,273144,1373,38,3541,3590.278,1.391640779,98.60835922,3590,1.38378989,98.61621011
298,37,258292,2584,100,4144,4058.817,2.055574324,97.94442568,4059,2.051158301,97.9488417
255,1,136703,1138,38,2333,2330.576,0.103900557,99.89609944,2331,0.085726532,99.91427347
220,21,33796,542,159,764,758.646,0.70078534,99.29921466,759,0.654450262,99.34554974
127,13,28998,802,17,1327,1172.909,11.61198191,88.38801809,1173,11.60512434,88.39487566
121,13,25241,537,-15,1111,1027.998,7.470927093,92.52907291,1028,7.470747075,92.52925293
276,47,198403,971,62,2515,2555.601,1.614353877,98.38564612,2556,1.630218688,98.36978131
99,13,10080,1130,-6,371,299.57,19.25336927,80.74663073,300,19.13746631,80.86253369
318,1,213617,2980,11,3231,3247.558,0.512472919,99.48752708,3248,0.526152894,99.47384711
328,47,344550,4074,18,4301,4347.873,1.089816322,98.91018368,4348,1.092769123,98.90723088
239,47,147353,1936,69,1648,1702.127,3.28440534,96.71559466,1702,3.276699029,96.72330097
240,28,81294,599,8,2413,2407.935,0.209904683,99.79009532,2408,0.207210941,99.79278906
248,21,51677,792,133,987,986.439,0.056838906,99.94316109,986,0.101317123,99.89868288
163,51,53211,564,50,1534,1512.303,1.41440678,98.58559322,1512,1.434159061,98.56584094
243,12,614753,2547,-34,11119,11134.615,0.140435291,99.85956471,11135,0.143897833,99.85610217
197,1,59113,1805,42,1211,1187.437,1.945747316,98.05425268,1187,1.981833196,98.0181668
151,47,22720,484,133,366,364.846,0.315300546,99.68469945,365,0.273224044,99.72677596
289,45,161106,1297,25,3607,3559.885,1.306210147,98.69378985,3560,1.303021902,98.6969781
304,28,120160,824,0,3334,3339.491,0.164697061,99.83530294,3339,0.149970006,99.85002999
100,1,2838,339,5,48,61.212,27.525,72.475,61,27.08333333,72.91666667
129,28,9378,288,-12,422,403.911,4.286492891,95.71350711,404,4.265402844,95.73459716
173,13,64673,885,50,2643,2511.259,4.984525161,95.01547484,2511,4.994324631,95.00567537
191,28,34622,1031,38,1215,1189.55,2.094650206,97.90534979,1190,2.057613169,97.94238683
128,37,13397,639,29,507,512.663,1.116962525,98.88303748,513,1.183431953,98.81656805
135,21,7225,145,90,328,327.077,0.281402439,99.71859756,327,0.304878049,99.69512195
236,21,43529,463,123,881,879.267,0.196708286,99.80329171,879,0.227014756,99.77298524
254,37,184179,1307,49,2990,3004.602,0.488361204,99.5116388,3005,0.501672241,99.49832776
295,51,170104,1332,56,3524,3518.346,0.160442679,99.83955732,3518,0.170261067,99.82973893
138,45,8816,155,51,385,382.916,0.541298701,99.4587013,383,0.519480519,99.48051948
220,51,99189,1307,76,2322,2227.651,4.063264427,95.93673557,2228,4.048234281,95.95176572
284,47,212649,1646,29,2758,2912.387,5.597788252,94.40221175,2912,5.583756345,94.41624365
317,12,851825,5504,-40,17372,17321.691,0.289598204,99.7104018,17322,0.28781948,99.71218052
131,47,15060,217,50,243,269.97,11.09876543,88.90123457,270,11.11111111,88.88888889
187,47,51431,1291,79,646,710.57,9.995356037,90.00464396,711,10.0619195,89.9380805
161,12,64448,1070,-20,2765,2683.253,2.956491863,97.04350814,2683,2.965641953,97.03435805
157,21,10977,272,105,466,469.406,0.730901288,99.26909871,469,0.643776824,99.35622318
94,13,5931,488,4,198,120.556,39.11313131,60.88686869,121,38.88888889,61.11111111
309,28,123887,1612,5,3405,3346.567,1.716093979,98.28390602,3347,1.703377386,98.29662261
235,1,114532,900,53,2011,2132.137,6.023719543,93.97628046,2132,6.016907011,93.98309299
244,45,118992,668,26,2720,2681.74,1.406617647,98.59338235,2682,1.397058824,98.60294118
173,21,13750,120,89,526,534.083,1.536692015,98.46330798,534,1.520912548,98.47908745
149,21,9184,107,74,409,404.219,1.168948655,98.83105134,404,1.222493888,98.77750611
308,47,266357,1770,44,3454,3488.118,0.987782281,99.01221772,3488,0.984365953,99.01563405
291,37,243725,2102,97,3929,3875.606,1.358971749,98.64102825,3876,1.348943752,98.65105625
306,13,390428,1435,24,7981,7991.005,0.125360231,99.87463977,7991,0.125297582,99.87470242
111,45,4439,62,-25,124,139.814,12.75322581,87.24677419,140,12.90322581,87.09677419
288,45,159809,926,27,3593,3552.152,1.136877261,98.86312274,3552,1.141107709,98.85889229
306,47,261426,754,38,3353,3409.16,1.674917984,98.32508202,3409,1.670146138,98.32985386
201,13,145038,3193,51,3173,3107.596,2.06126694,97.93873306,3108,2.04853451,97.95146549
282,21,77455,868,77,1234,1273.562,3.205996759,96.79400324,1274,3.241491086,96.75850891
270,21,66036,970,175,1154,1155.165,0.100953206,99.89904679,1155,0.086655113,99.91334489
268,13,327158,1608,-24,6822,6784.2,0.55408971,99.44591029,6784,0.557021401,99.4429786
104,21,2048,85,-16,104,93.894,9.717307692,90.28269231,94,9.615384615,90.38461538
251,37,181070,1039,134,2897,2841.053,1.931204695,98.06879531,2841,1.933034173,98.06696583
176,13,69639,1835,25,2698,2661.74,1.343958488,98.65604151,2662,1.33432172,98.66567828
326,28,143180,779,19,3676,3581.887,2.560201306,97.43979869,3582,2.557127312,97.44287269
